UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
020606,PURHUAY,ANCASH,MARCARA
022007,PUESTO DE SALUD PUTACA,ANCASH,SHUPLUY
190111,RACRACANCHA,PASCO,TINYAHUARCO
200104,COF- PIURA SRL,PIURA,CASTILLA
200101,CENTRO ODONTOLOGICO DIGITAL,PIURA,PIURA
101001,PARACSHA,HUANUCO,JESUS
190102,QUIPARACRA,PASCO,HUACHON
050115,CENTRO MEDICO SAGRADO NIÑO JESUS,AYACUCHO,JESUS NAZARENO
040108,PUESTO DE SALUD LA CANO,AREQUIPA,LA JOYA
190305,ALTO LAGARTO,PASCO,POZUZO
190305,SAN SALVADOR,PASCO,POZUZO
120608,YAVIRO,JUNIN,RIO TAMBO
